#{"t_start": 1624019661.6000924, "env_id": "CartPole-v1"}
r,l,t
1.0,1,1.305314
1.0,1,1.317766
1.0,1,1.319602
1.0,1,1.321279
1.0,1,1.322969
1.0,1,1.324622
1.0,1,1.326283
1.0,1,1.328005
1.0,1,1.329654
1.0,1,1.331354
1.0,1,1.332993
1.0,1,1.33465
1.0,1,1.336312
1.0,1,1.33797
1.0,1,1.339539
1.0,1,1.341303
1.0,1,1.343028
1.0,1,1.344758
1.0,1,1.346536
1.0,1,1.348271
1.0,1,1.349934
1.0,1,1.351589
1.0,1,1.353342
1.0,1,1.355096
1.0,1,1.356785
1.0,1,1.358423
1.0,1,1.360126
1.0,1,1.361811
1.0,1,1.363516
1.0,1,1.365212
1.0,1,1.366894
1.0,1,1.368653
1.0,1,1.370415
1.0,1,1.372233
1.0,1,1.374022
1.0,1,1.375807
1.0,1,1.377703
1.0,1,1.37979
1.0,1,1.381793
1.0,1,1.38359
1.0,1,1.385366
1.0,1,1.386856
1.0,1,1.388977
1.0,1,1.390815
1.0,1,1.3927
1.0,1,1.394357
1.0,1,1.396205
1.0,1,1.398057
1.0,1,1.399836
1.0,1,1.401644
1.0,1,1.403453
1.0,1,1.405627
1.0,1,1.407494
1.0,1,1.409245
1.0,1,1.411079
1.0,1,1.412859
1.0,1,1.414577
1.0,1,1.416354
1.0,1,1.41827
1.0,1,1.42007
1.0,1,1.421929
1.0,1,1.423764
1.0,1,1.425452
1.0,1,1.427238
1.0,1,1.428982
1.0,1,1.430697
1.0,1,1.432658
1.0,1,1.434883
1.0,1,1.436817
1.0,1,1.438769
1.0,1,1.440728
1.0,1,1.442959
1.0,1,1.444847
1.0,1,1.446718
1.0,1,1.448791
1.0,1,1.450401
1.0,1,1.452089
1.0,1,1.453832
1.0,1,1.455609
1.0,1,1.457314
1.0,1,1.459201
1.0,1,1.461067
1.0,1,1.462905
1.0,1,1.464659
1.0,1,1.466555
1.0,1,1.468326
1.0,1,1.470079
1.0,1,1.471759
1.0,1,1.473411
1.0,1,1.475187
1.0,1,1.477027
1.0,1,1.478804
1.0,1,1.480533
1.0,1,1.482321
1.0,1,1.484258
1.0,1,1.486086
1.0,1,1.487931
1.0,1,1.489763
1.0,1,1.491649
1.0,1,1.493429
1.0,1,1.495194
1.0,1,1.496967
1.0,1,1.49886
1.0,1,1.500618
1.0,1,1.502378
1.0,1,1.504144
1.0,1,1.505985
1.0,1,1.507831
1.0,1,1.509649
1.0,1,1.511477
1.0,1,1.51329
1.0,1,1.515179
1.0,1,1.517017
1.0,1,1.518832
1.0,1,1.520601
1.0,1,1.52248
1.0,1,1.524306
1.0,1,1.526105
1.0,1,1.527941
1.0,1,1.529766
1.0,1,1.531659
1.0,1,1.533518
1.0,1,1.535333
1.0,1,1.537039
1.0,1,1.538859
1.0,1,1.540607
1.0,1,1.542267
1.0,1,1.543955
1.0,1,1.545684
1.0,1,1.547535
1.0,1,1.549323
1.0,1,1.55109
1.0,1,1.552862
1.0,1,1.554679
1.0,1,1.556501
1.0,1,1.558311
1.0,1,1.560116
1.0,1,1.561876
1.0,1,1.563699
1.0,1,1.56551
1.0,1,1.567281
1.0,1,1.569033
1.0,1,1.570923
1.0,1,1.572737
1.0,1,1.574834
1.0,1,1.576429
1.0,1,1.578418
1.0,1,1.579942
1.0,1,1.581743
1.0,1,1.586043
1.0,1,1.588791
1.0,1,1.591655
1.0,1,1.594035
1.0,1,1.596148
1.0,1,1.598263
1.0,1,1.60031
1.0,1,1.602291
1.0,1,1.604164
1.0,1,1.605781
1.0,1,1.607613
1.0,1,1.609423
1.0,1,1.61135
1.0,1,1.613111
1.0,1,1.614858
1.0,1,1.616595
1.0,1,1.618412
1.0,1,1.620151
1.0,1,1.621853
1.0,1,1.623623
1.0,1,1.625314
1.0,1,1.627125
1.0,1,1.628876
1.0,1,1.630639
1.0,1,1.632375
1.0,1,1.634191
1.0,1,1.635981
1.0,1,1.637793
1.0,1,1.639591
1.0,1,1.641402
1.0,1,1.643295
1.0,1,1.644997
1.0,1,1.64666
1.0,1,1.648339
1.0,1,1.65004
1.0,1,1.651694
1.0,1,1.653455
1.0,1,1.655329
1.0,1,1.657148
1.0,1,1.659012
1.0,1,1.660778
1.0,1,1.662559
1.0,1,1.664337
1.0,1,1.666156
1.0,1,1.667909
1.0,1,1.669663
1.0,1,1.671419
1.0,1,1.673196
1.0,1,1.675026
1.0,1,1.676777
1.0,1,1.67847
1.0,1,1.680209
1.0,1,1.681919
1.0,1,1.683741
1.0,1,1.685521
1.0,1,1.687294
1.0,1,1.689013
1.0,1,1.690755
1.0,1,1.692518
1.0,1,1.694378
1.0,1,1.696063
1.0,1,1.697805
1.0,1,1.699553
1.0,1,1.701292
1.0,1,1.703007
1.0,1,1.704769
1.0,1,1.706606
1.0,1,1.708413
1.0,1,1.710158
1.0,1,1.711872
1.0,1,1.713593
1.0,1,1.715391
1.0,1,1.717171
1.0,1,1.718917
1.0,1,1.720651
1.0,1,1.722467
1.0,1,1.724183
1.0,1,1.725888
1.0,1,1.727612
1.0,1,1.729295
1.0,1,1.731103
1.0,1,1.732829
1.0,1,1.734526
1.0,1,1.736196
1.0,1,1.73796
1.0,1,1.739749
1.0,1,1.741505
1.0,1,1.743259
1.0,1,1.745009
1.0,1,1.747129
1.0,1,1.749133
1.0,1,1.751089
1.0,1,1.752731
1.0,1,1.754827
1.0,1,1.75671
1.0,1,1.758524
1.0,1,1.760389
1.0,1,1.762256
1.0,1,1.764023
1.0,1,1.765804
1.0,1,1.767596
1.0,1,1.769341
1.0,1,1.77124
1.0,1,1.773057
1.0,1,1.774889
1.0,1,1.776664
1.0,1,1.77876
1.0,1,1.780545
1.0,1,1.782347
1.0,1,1.784557
1.0,1,1.786827
1.0,1,1.788948
1.0,1,1.791032
1.0,1,1.793232
1.0,1,1.795267
1.0,1,1.797389
1.0,1,1.799562
1.0,1,1.801648
1.0,1,1.803731
1.0,1,1.806093
1.0,1,1.808002
1.0,1,1.809912
1.0,1,1.811879
1.0,1,1.813719
1.0,1,1.815512
1.0,1,1.817292
1.0,1,1.819096
1.0,1,1.820885
1.0,1,1.822701
1.0,1,1.824339
1.0,1,1.826159
1.0,1,1.828045
1.0,1,1.829885
1.0,1,1.831978
1.0,1,1.834112
1.0,1,1.836019
1.0,1,1.837864
1.0,1,1.83971
1.0,1,1.841524
1.0,1,1.843462
1.0,1,1.845307
1.0,1,1.84714
1.0,1,1.849011
1.0,1,1.850929
1.0,1,1.852672
1.0,1,1.85442
1.0,1,1.856183
1.0,1,1.857905
1.0,1,1.859763
1.0,1,1.861609
1.0,1,1.863465
1.0,1,1.865306
1.0,1,1.867216
1.0,1,1.86901
1.0,1,1.87079
1.0,1,1.872544
1.0,1,1.874309
1.0,1,1.876128
1.0,1,1.877903
1.0,1,1.879693
1.0,1,1.881421
1.0,1,1.883244
1.0,1,1.885226
1.0,1,1.887208
1.0,1,1.889169
