#{"t_start": 1624019661.6035683, "env_id": "CartPole-v1"}
r,l,t
1.0,1,1.301836
1.0,1,1.314308
1.0,1,1.316144
1.0,1,1.317822
1.0,1,1.319512
1.0,1,1.321166
1.0,1,1.322832
1.0,1,1.324528
1.0,1,1.326216
1.0,1,1.327896
1.0,1,1.329539
1.0,1,1.331195
1.0,1,1.332867
1.0,1,1.334529
1.0,1,1.336251
1.0,1,1.337637
1.0,1,1.339372
1.0,1,1.341076
1.0,1,1.342867
1.0,1,1.344654
1.0,1,1.346287
1.0,1,1.347952
1.0,1,1.34974
1.0,1,1.351398
1.0,1,1.353304
1.0,1,1.35477
1.0,1,1.356592
1.0,1,1.358086
1.0,1,1.359993
1.0,1,1.361483
1.0,1,1.363208
1.0,1,1.365005
1.0,1,1.366779
1.0,1,1.368612
1.0,1,1.37037
1.0,1,1.372187
1.0,1,1.374068
1.0,1,1.376149
1.0,1,1.378174
1.0,1,1.379966
1.0,1,1.381734
1.0,1,1.383568
1.0,1,1.385371
1.0,1,1.387177
1.0,1,1.389044
1.0,1,1.390876
1.0,1,1.392724
1.0,1,1.394567
1.0,1,1.396374
1.0,1,1.398143
1.0,1,1.399968
1.0,1,1.402156
1.0,1,1.40401
1.0,1,1.405798
1.0,1,1.407608
1.0,1,1.409364
1.0,1,1.411086
1.0,1,1.412919
1.0,1,1.414741
1.0,1,1.416598
1.0,1,1.418455
1.0,1,1.420294
1.0,1,1.422007
1.0,1,1.423762
1.0,1,1.425504
1.0,1,1.427227
1.0,1,1.428973
1.0,1,1.43119
1.0,1,1.433334
1.0,1,1.435323
1.0,1,1.437326
1.0,1,1.439547
1.0,1,1.441416
1.0,1,1.443273
1.0,1,1.445104
1.0,1,1.44691
1.0,1,1.44866
1.0,1,1.450374
1.0,1,1.452106
1.0,1,1.453851
1.0,1,1.455737
1.0,1,1.457604
1.0,1,1.459436
1.0,1,1.461193
1.0,1,1.463121
1.0,1,1.464891
1.0,1,1.466611
1.0,1,1.468291
1.0,1,1.469975
1.0,1,1.471756
1.0,1,1.473605
1.0,1,1.475355
1.0,1,1.477096
1.0,1,1.478884
1.0,1,1.480839
1.0,1,1.482651
1.0,1,1.484496
1.0,1,1.486343
1.0,1,1.488227
1.0,1,1.48999
1.0,1,1.49176
1.0,1,1.493541
1.0,1,1.495417
1.0,1,1.497149
1.0,1,1.498897
1.0,1,1.500725
1.0,1,1.502568
1.0,1,1.504366
1.0,1,1.506213
1.0,1,1.508041
1.0,1,1.509872
1.0,1,1.511762
1.0,1,1.513547
1.0,1,1.515358
1.0,1,1.517124
1.0,1,1.519062
1.0,1,1.520885
1.0,1,1.52267
1.0,1,1.524523
1.0,1,1.526348
1.0,1,1.528225
1.0,1,1.530087
1.0,1,1.531896
1.0,1,1.533604
1.0,1,1.535415
1.0,1,1.53714
1.0,1,1.538796
1.0,1,1.540515
1.0,1,1.542258
1.0,1,1.544116
1.0,1,1.545895
1.0,1,1.54768
1.0,1,1.549426
1.0,1,1.551246
1.0,1,1.55307
1.0,1,1.554872
1.0,1,1.556652
1.0,1,1.5584
1.0,1,1.560266
1.0,1,1.562065
1.0,1,1.563847
1.0,1,1.565601
1.0,1,1.567487
1.0,1,1.569317
1.0,1,1.571186
1.0,1,1.573012
1.0,1,1.574897
1.0,1,1.576518
1.0,1,1.578131
1.0,1,1.579749
1.0,1,1.585606
1.0,1,1.588286
1.0,1,1.59048
1.0,1,1.592466
1.0,1,1.594523
1.0,1,1.596614
1.0,1,1.598596
1.0,1,1.600483
1.0,1,1.602511
1.0,1,1.604205
1.0,1,1.606013
1.0,1,1.607941
1.0,1,1.6097
1.0,1,1.611448
1.0,1,1.613171
1.0,1,1.614988
1.0,1,1.616724
1.0,1,1.618397
1.0,1,1.620086
1.0,1,1.621778
1.0,1,1.623573
1.0,1,1.625331
1.0,1,1.627096
1.0,1,1.628819
1.0,1,1.630635
1.0,1,1.632437
1.0,1,1.63425
1.0,1,1.63605
1.0,1,1.637861
1.0,1,1.639753
1.0,1,1.641424
1.0,1,1.643143
1.0,1,1.644813
1.0,1,1.646527
1.0,1,1.648234
1.0,1,1.65
1.0,1,1.651869
1.0,1,1.653695
1.0,1,1.655561
1.0,1,1.65735
1.0,1,1.659104
1.0,1,1.660878
1.0,1,1.662682
1.0,1,1.664449
1.0,1,1.666201
1.0,1,1.667974
1.0,1,1.66972
1.0,1,1.671591
1.0,1,1.6733
1.0,1,1.675029
1.0,1,1.676769
1.0,1,1.678498
1.0,1,1.680312
1.0,1,1.682063
1.0,1,1.683835
1.0,1,1.68558
1.0,1,1.687331
1.0,1,1.689087
1.0,1,1.690883
1.0,1,1.692582
1.0,1,1.694356
1.0,1,1.696095
1.0,1,1.697829
1.0,1,1.699579
1.0,1,1.701255
1.0,1,1.703093
1.0,1,1.704901
1.0,1,1.706671
1.0,1,1.708386
1.0,1,1.710126
1.0,1,1.711918
1.0,1,1.713715
1.0,1,1.715459
1.0,1,1.71722
1.0,1,1.718996
1.0,1,1.720707
1.0,1,1.722381
1.0,1,1.724106
1.0,1,1.725822
1.0,1,1.727632
1.0,1,1.729349
1.0,1,1.731048
1.0,1,1.732711
1.0,1,1.734506
1.0,1,1.736291
1.0,1,1.738048
1.0,1,1.739798
1.0,1,1.741526
1.0,1,1.74339
1.0,1,1.745445
1.0,1,1.747388
1.0,1,1.749453
1.0,1,1.751272
1.0,1,1.753155
1.0,1,1.754982
1.0,1,1.756806
1.0,1,1.758698
1.0,1,1.760471
1.0,1,1.762249
1.0,1,1.764044
1.0,1,1.765787
1.0,1,1.767683
1.0,1,1.769515
1.0,1,1.771344
1.0,1,1.773392
1.0,1,1.775378
1.0,1,1.777131
1.0,1,1.778927
1.0,1,1.780854
1.0,1,1.783218
1.0,1,1.785382
1.0,1,1.787646
1.0,1,1.789825
1.0,1,1.791917
1.0,1,1.794034
1.0,1,1.796191
1.0,1,1.798271
1.0,1,1.800519
1.0,1,1.80267
1.0,1,1.804572
1.0,1,1.806438
1.0,1,1.808432
1.0,1,1.810287
1.0,1,1.812077
1.0,1,1.813861
1.0,1,1.815656
1.0,1,1.817451
1.0,1,1.819252
1.0,1,1.821046
1.0,1,1.822867
1.0,1,1.824753
1.0,1,1.82659
1.0,1,1.828716
1.0,1,1.83085
1.0,1,1.832725
1.0,1,1.834567
1.0,1,1.836415
1.0,1,1.838227
1.0,1,1.840168
1.0,1,1.841991
1.0,1,1.843849
1.0,1,1.845718
1.0,1,1.847622
1.0,1,1.84937
1.0,1,1.851116
1.0,1,1.852879
1.0,1,1.854582
1.0,1,1.85647
1.0,1,1.858313
1.0,1,1.860174
1.0,1,1.86202
1.0,1,1.863917
1.0,1,1.86571
1.0,1,1.867399
1.0,1,1.869243
1.0,1,1.871007
1.0,1,1.872825
1.0,1,1.87461
1.0,1,1.87638
1.0,1,1.878119
1.0,1,1.879973
1.0,1,1.881952
1.0,1,1.883927
1.0,1,1.885885
1.0,1,1.887837
1.0,1,1.889662
1.0,1,1.891403
1.0,1,1.893338
1.0,1,1.895174
1.0,1,1.896942
1.0,1,1.898741
1.0,1,1.900522
1.0,1,1.902275
1.0,1,1.90413
1.0,1,1.905977
1.0,1,1.907818
1.0,1,1.909645
1.0,1,1.91141
1.0,1,1.913315
1.0,1,1.9151
1.0,1,1.91689
1.0,1,1.918642
1.0,1,1.920397
1.0,1,1.922189
1.0,1,1.923971
1.0,1,1.925738
1.0,1,1.927516
1.0,1,1.929293
1.0,1,1.931091
1.0,1,1.932921
1.0,1,1.93475
1.0,1,1.936599
1.0,1,1.938449
1.0,1,1.940289
1.0,1,1.942121
1.0,1,1.943968
1.0,1,1.945812
1.0,1,1.94768
1.0,1,1.949493
1.0,1,1.951341
1.0,1,1.953204
1.0,1,1.95504
1.0,1,1.956972
1.0,1,1.959028
1.0,1,1.960985
1.0,1,1.962975
1.0,1,1.964788
1.0,1,1.966633
1.0,1,1.968488
1.0,1,1.970328
1.0,1,1.972161
1.0,1,1.973993
1.0,1,1.975757
1.0,1,1.977535
1.0,1,1.979284
1.0,1,1.981022
1.0,1,1.982856
1.0,1,1.984693
1.0,1,1.986523
1.0,1,1.988347
1.0,1,1.990144
1.0,1,1.991952
1.0,1,1.993766
1.0,1,1.995607
1.0,1,1.997432
1.0,1,1.999228
1.0,1,2.001071
1.0,1,2.002811
1.0,1,2.004534
1.0,1,2.006303
1.0,1,2.008063
1.0,1,2.009817
1.0,1,2.011575
1.0,1,2.013308
1.0,1,2.015107
1.0,1,2.016936
1.0,1,2.018703
1.0,1,2.020449
1.0,1,2.022166
1.0,1,2.023928
1.0,1,2.025698
1.0,1,2.027451
1.0,1,2.0292
1.0,1,2.031031
1.0,1,2.032837
1.0,1,2.03461
1.0,1,2.03641
1.0,1,2.03818
1.0,1,2.04
1.0,1,2.041813
1.0,1,2.043649
1.0,1,2.045377
1.0,1,2.04709
1.0,1,2.048847
1.0,1,2.050574
1.0,1,2.052295
1.0,1,2.054073
1.0,1,2.055954
1.0,1,2.057729
1.0,1,2.059495
1.0,1,2.061337
1.0,1,2.063149
1.0,1,2.064981
1.0,1,2.066769
1.0,1,2.068547
1.0,1,2.070366
1.0,1,2.072125
1.0,1,2.073894
1.0,1,2.075652
1.0,1,2.077373
1.0,1,2.07908
1.0,1,2.080841
1.0,1,2.082569
1.0,1,2.084298
1.0,1,2.086056
1.0,1,2.087813
1.0,1,2.089583
1.0,1,2.091347
1.0,1,2.093054
1.0,1,2.09484
1.0,1,2.096621
1.0,1,2.098455
1.0,1,2.100274
1.0,1,2.102077
1.0,1,2.103886
1.0,1,2.105699
1.0,1,2.107511
1.0,1,2.109292
1.0,1,2.11118
1.0,1,2.11302
1.0,1,2.11485
1.0,1,2.116643
1.0,1,2.118511
1.0,1,2.120337
1.0,1,2.122169
1.0,1,2.123994
1.0,1,2.125795
1.0,1,2.127614
1.0,1,2.129439
1.0,1,2.131263
1.0,1,2.133089
1.0,1,2.134877
1.0,1,2.136684
1.0,1,2.138513
1.0,1,2.140326
1.0,1,2.142084
1.0,1,2.143862
1.0,1,2.145625
1.0,1,2.147379
1.0,1,2.14912
1.0,1,2.150938
1.0,1,2.152718
1.0,1,2.154491
1.0,1,2.156293
1.0,1,2.158071
1.0,1,2.159899
1.0,1,2.161711
1.0,1,2.163534
1.0,1,2.165343
1.0,1,2.16714
1.0,1,2.168975
1.0,1,2.170788
1.0,1,2.172595
1.0,1,2.174412
1.0,1,2.17626
1.0,1,2.178082
1.0,1,2.179905
1.0,1,2.181703
1.0,1,2.18351
1.0,1,2.185364
1.0,1,2.187116
1.0,1,2.188934
1.0,1,2.190667
1.0,1,2.192439
1.0,1,2.194209
1.0,1,2.196088
1.0,1,2.197899
1.0,1,2.199739
1.0,1,2.201542
1.0,1,2.203365
1.0,1,2.205178
1.0,1,2.206992
1.0,1,2.208806
1.0,1,2.210619
1.0,1,2.21245
1.0,1,2.214255
1.0,1,2.216072
1.0,1,2.217862
1.0,1,2.219668
1.0,1,2.221423
1.0,1,2.22318
1.0,1,2.225126
1.0,1,2.227097
1.0,1,2.228853
1.0,1,2.231424
1.0,1,2.233741
1.0,1,2.235662
1.0,1,2.237481
1.0,1,2.239256
1.0,1,2.241233
1.0,1,2.24297
1.0,1,2.244657
1.0,1,2.246406
1.0,1,2.248233
1.0,1,2.249985
1.0,1,2.251778
1.0,1,2.253534
1.0,1,2.255273
1.0,1,2.257168
1.0,1,2.258896
1.0,1,2.260696
1.0,1,2.262431
1.0,1,2.264166
1.0,1,2.265984
1.0,1,2.267837
1.0,1,2.269614
1.0,1,2.271438
1.0,1,2.273317
1.0,1,2.275108
1.0,1,2.277029
1.0,1,2.278877
1.0,1,2.280744
1.0,1,2.282656
1.0,1,2.284483
1.0,1,2.286068
1.0,1,2.287843
1.0,1,2.289725
1.0,1,2.294836
1.0,1,2.297236
1.0,1,2.299221
1.0,1,2.301572
1.0,1,2.303749
1.0,1,2.305613
1.0,1,2.307378
1.0,1,2.30933
1.0,1,2.311259
1.0,1,2.31307
1.0,1,2.314855
1.0,1,2.316659
1.0,1,2.318461
1.0,1,2.320302
1.0,1,2.322094
1.0,1,2.323939
1.0,1,2.325773
1.0,1,2.327624
1.0,1,2.32942
1.0,1,2.331271
1.0,1,2.333082
1.0,1,2.334937
1.0,1,2.336831
1.0,1,2.338514
1.0,1,2.340409
1.0,1,2.342221
1.0,1,2.344015
1.0,1,2.346021
1.0,1,2.347806
1.0,1,2.349584
1.0,1,2.351405
1.0,1,2.353212
1.0,1,2.355234
1.0,1,2.357109
1.0,1,2.358946
1.0,1,2.360844
1.0,1,2.362697
1.0,1,2.364551
1.0,1,2.366422
1.0,1,2.368285
1.0,1,2.370363
1.0,1,2.37224
1.0,1,2.374066
1.0,1,2.375906
1.0,1,2.377737
1.0,1,2.379586
1.0,1,2.381399
1.0,1,2.383998
1.0,1,2.38629
1.0,1,2.388236
1.0,1,2.390117
1.0,1,2.39189
1.0,1,2.393569
1.0,1,2.395213
1.0,1,2.396816
1.0,1,2.398486
1.0,1,2.400254
1.0,1,2.402414
1.0,1,2.404158
1.0,1,2.405897
1.0,1,2.407853
1.0,1,2.41002
1.0,1,2.412244
1.0,1,2.414245
1.0,1,2.416219
1.0,1,2.418139
1.0,1,2.420031
1.0,1,2.421932
1.0,1,2.423868
1.0,1,2.425646
1.0,1,2.4274
1.0,1,2.429199
1.0,1,2.430959
1.0,1,2.432755
1.0,1,2.434546
1.0,1,2.436325
1.0,1,2.438111
1.0,1,2.439895
1.0,1,2.441694
1.0,1,2.443539
1.0,1,2.445349
1.0,1,2.447174
1.0,1,2.448988
1.0,1,2.450768
1.0,1,2.452584
1.0,1,2.454389
1.0,1,2.456193
1.0,1,2.458036
1.0,1,2.459889
1.0,1,2.46171
1.0,1,2.463546
1.0,1,2.465345
1.0,1,2.467101
1.0,1,2.468882
1.0,1,2.470733
1.0,1,2.472587
1.0,1,2.474437
1.0,1,2.476276
1.0,1,2.478115
