#{"t_start": 1624019661.59571, "env_id": "CartPole-v1"}
r,l,t
1.0,1,1.30923
1.0,1,1.321693
1.0,1,1.323632
1.0,1,1.325306
1.0,1,1.326994
1.0,1,1.328655
1.0,1,1.330321
1.0,1,1.332033
1.0,1,1.333695
1.0,1,1.335396
1.0,1,1.337032
1.0,1,1.33868
1.0,1,1.34036
1.0,1,1.342017
1.0,1,1.343669
1.0,1,1.345249
1.0,1,1.346954
1.0,1,1.348701
1.0,1,1.350443
1.0,1,1.352415
1.0,1,1.354094
1.0,1,1.355541
1.0,1,1.357293
1.0,1,1.359075
1.0,1,1.360713
1.0,1,1.3626
1.0,1,1.364036
1.0,1,1.365732
1.0,1,1.367444
1.0,1,1.369117
1.0,1,1.370847
1.0,1,1.372597
1.0,1,1.374378
1.0,1,1.376195
1.0,1,1.37799
1.0,1,1.379766
1.0,1,1.381628
1.0,1,1.383694
1.0,1,1.38574
1.0,1,1.387553
1.0,1,1.389338
1.0,1,1.391126
1.0,1,1.392951
1.0,1,1.394747
1.0,1,1.396651
1.0,1,1.398484
1.0,1,1.400334
1.0,1,1.402179
1.0,1,1.404001
1.0,1,1.405733
1.0,1,1.408005
1.0,1,1.410163
1.0,1,1.412021
1.0,1,1.413803
1.0,1,1.415183
1.0,1,1.416957
1.0,1,1.418689
1.0,1,1.42049
1.0,1,1.422314
1.0,1,1.424162
1.0,1,1.42603
1.0,1,1.42787
1.0,1,1.430009
1.0,1,1.431763
1.0,1,1.433091
1.0,1,1.434815
1.0,1,1.436558
1.0,1,1.438752
1.0,1,1.440897
1.0,1,1.442851
1.0,1,1.444845
1.0,1,1.447558
1.0,1,1.449429
1.0,1,1.450858
1.0,1,1.452669
1.0,1,1.454528
1.0,1,1.456668
1.0,1,1.458001
1.0,1,1.459739
1.0,1,1.461445
1.0,1,1.463311
1.0,1,1.46518
1.0,1,1.46701
1.0,1,1.468822
1.0,1,1.470729
1.0,1,1.472501
1.0,1,1.474254
1.0,1,1.475934
1.0,1,1.477586
1.0,1,1.479351
1.0,1,1.481196
1.0,1,1.482968
1.0,1,1.484703
1.0,1,1.486492
1.0,1,1.488422
1.0,1,1.490252
1.0,1,1.492094
1.0,1,1.493926
1.0,1,1.495821
1.0,1,1.497596
1.0,1,1.499362
1.0,1,1.501137
1.0,1,1.503018
1.0,1,1.504791
1.0,1,1.506551
