#{"t_start": 1624019661.5409846, "env_id": "CartPole-v1"}
r,l,t
1.0,1,1.363976
1.0,1,1.376468
1.0,1,1.378408
1.0,1,1.3801
1.0,1,1.381756
1.0,1,1.38343
1.0,1,1.385083
1.0,1,1.386809
1.0,1,1.388469
1.0,1,1.390168
1.0,1,1.391822
1.0,1,1.393455
1.0,1,1.395132
1.0,1,1.396794
1.0,1,1.398444
1.0,1,1.400023
1.0,1,1.401734
1.0,1,1.403461
1.0,1,1.405227
1.0,1,1.406971
1.0,1,1.408662
1.0,1,1.410735
1.0,1,1.412513
1.0,1,1.414079
1.0,1,1.415496
1.0,1,1.417151
1.0,1,1.418817
1.0,1,1.42051
1.0,1,1.422222
1.0,1,1.423895
1.0,1,1.425607
1.0,1,1.427375
1.0,1,1.429552
1.0,1,1.431405
1.0,1,1.433129
1.0,1,1.43498
1.0,1,1.436873
1.0,1,1.438952
1.0,1,1.440948
1.0,1,1.442742
1.0,1,1.444112
1.0,1,1.44636
1.0,1,1.448157
1.0,1,1.449967
1.0,1,1.451804
1.0,1,1.453638
1.0,1,1.455495
1.0,1,1.457326
1.0,1,1.459125
1.0,1,1.460918
1.0,1,1.462967
1.0,1,1.464496
1.0,1,1.466364
1.0,1,1.468167
1.0,1,1.469968
1.0,1,1.471736
1.0,1,1.473462
1.0,1,1.475261
1.0,1,1.4771
1.0,1,1.478951
1.0,1,1.480817
1.0,1,1.482642
1.0,1,1.484385
1.0,1,1.486133
1.0,1,1.487878
1.0,1,1.489597
1.0,1,1.491352
1.0,1,1.493556
1.0,1,1.495703
1.0,1,1.497658
1.0,1,1.499637
1.0,1,1.501905
1.0,1,1.503778
1.0,1,1.505651
1.0,1,1.507467
1.0,1,1.509323
1.0,1,1.511036
1.0,1,1.512773
1.0,1,1.514509
1.0,1,1.516228
1.0,1,1.518098
1.0,1,1.519967
1.0,1,1.521796
1.0,1,1.523579
1.0,1,1.525496
1.0,1,1.527266
1.0,1,1.529009
1.0,1,1.530687
1.0,1,1.532351
1.0,1,1.534117
1.0,1,1.535964
1.0,1,1.537733
1.0,1,1.539471
1.0,1,1.541259
1.0,1,1.543208
1.0,1,1.545021
1.0,1,1.546864
1.0,1,1.548711
1.0,1,1.550602
1.0,1,1.552363
1.0,1,1.554134
1.0,1,1.555903
1.0,1,1.557784
1.0,1,1.559545
1.0,1,1.561301
1.0,1,1.563098
1.0,1,1.564937
1.0,1,1.566758
1.0,1,1.568571
1.0,1,1.570405
1.0,1,1.572237
1.0,1,1.574122
1.0,1,1.575933
1.0,1,1.577737
1.0,1,1.579521
1.0,1,1.581429
1.0,1,1.583255
1.0,1,1.585042
1.0,1,1.586886
1.0,1,1.588711
1.0,1,1.590587
1.0,1,1.592449
1.0,1,1.594272
1.0,1,1.59598
1.0,1,1.597782
1.0,1,1.599535
1.0,1,1.601197
1.0,1,1.6029
1.0,1,1.604627
1.0,1,1.606481
1.0,1,1.608266
1.0,1,1.610047
1.0,1,1.611797
1.0,1,1.61361
1.0,1,1.61544
1.0,1,1.617242
1.0,1,1.619041
1.0,1,1.620794
1.0,1,1.622633
1.0,1,1.624436
1.0,1,1.626217
1.0,1,1.62797
1.0,1,1.629842
1.0,1,1.631682
1.0,1,1.633551
1.0,1,1.635375
1.0,1,1.637285
1.0,1,1.638905
1.0,1,1.640514
1.0,1,1.642549
1.0,1,1.647359
1.0,1,1.650636
1.0,1,1.652855
1.0,1,1.654829
1.0,1,1.656948
1.0,1,1.659037
1.0,1,1.661023
1.0,1,1.662901
1.0,1,1.664736
1.0,1,1.666561
1.0,1,1.668373
1.0,1,1.670303
1.0,1,1.672068
1.0,1,1.673805
1.0,1,1.675537
1.0,1,1.677343
1.0,1,1.679096
1.0,1,1.680789
1.0,1,1.682516
1.0,1,1.684209
1.0,1,1.68601
1.0,1,1.687763
1.0,1,1.689527
1.0,1,1.691259
1.0,1,1.693077
1.0,1,1.694859
1.0,1,1.696678
1.0,1,1.698471
1.0,1,1.700286
1.0,1,1.702185
1.0,1,1.703893
1.0,1,1.705553
1.0,1,1.70723
1.0,1,1.708928
1.0,1,1.710599
1.0,1,1.712368
1.0,1,1.714215
1.0,1,1.716052
1.0,1,1.717918
1.0,1,1.719711
1.0,1,1.72147
1.0,1,1.723241
1.0,1,1.725048
1.0,1,1.726814
1.0,1,1.728569
1.0,1,1.730324
1.0,1,1.732087
1.0,1,1.733952
1.0,1,1.735685
1.0,1,1.737394
1.0,1,1.739134
1.0,1,1.740857
1.0,1,1.742676
1.0,1,1.744428
1.0,1,1.7462
1.0,1,1.747944
1.0,1,1.74969
1.0,1,1.751451
1.0,1,1.75326
1.0,1,1.754974
1.0,1,1.756726
1.0,1,1.758463
1.0,1,1.760202
1.0,1,1.762303
1.0,1,1.763649
1.0,1,1.765485
1.0,1,1.767294
1.0,1,1.769066
1.0,1,1.77078
1.0,1,1.77249
1.0,1,1.774284
1.0,1,1.776081
1.0,1,1.777817
1.0,1,1.779574
1.0,1,1.781369
1.0,1,1.78308
1.0,1,1.784776
1.0,1,1.7865
1.0,1,1.788179
1.0,1,1.789995
1.0,1,1.791738
1.0,1,1.793439
1.0,1,1.795103
1.0,1,1.796869
1.0,1,1.798657
1.0,1,1.800415
1.0,1,1.802164
1.0,1,1.803905
1.0,1,1.805791
1.0,1,1.807868
1.0,1,1.809806
1.0,1,1.811555
1.0,1,1.813643
1.0,1,1.815536
1.0,1,1.817365
1.0,1,1.819188
1.0,1,1.821087
1.0,1,1.822857
1.0,1,1.824638
1.0,1,1.826431
1.0,1,1.828178
1.0,1,1.830061
1.0,1,1.831898
1.0,1,1.833713
1.0,1,1.835568
1.0,1,1.837673
1.0,1,1.839457
1.0,1,1.84126
1.0,1,1.843866
1.0,1,1.846287
1.0,1,1.848315
1.0,1,1.850638
1.0,1,1.852597
1.0,1,1.85472
1.0,1,1.856549
1.0,1,1.858716
1.0,1,1.860802
1.0,1,1.862637
1.0,1,1.865002
1.0,1,1.866915
1.0,1,1.868808
1.0,1,1.870769
1.0,1,1.872643
1.0,1,1.874434
1.0,1,1.876216
1.0,1,1.87801
1.0,1,1.879808
1.0,1,1.881611
1.0,1,1.883417
1.0,1,1.885233
1.0,1,1.887105
1.0,1,1.888943
1.0,1,1.891016
1.0,1,1.893163
1.0,1,1.895079
1.0,1,1.896922
1.0,1,1.89877
1.0,1,1.900584
1.0,1,1.902522
1.0,1,1.904365
1.0,1,1.906199
1.0,1,1.908072
1.0,1,1.909987
1.0,1,1.91172
1.0,1,1.913483
1.0,1,1.915259
1.0,1,1.916967
1.0,1,1.918807
1.0,1,1.920668
1.0,1,1.922526
1.0,1,1.924366
1.0,1,1.926275
1.0,1,1.928073
1.0,1,1.929847
1.0,1,1.931591
1.0,1,1.933384
1.0,1,1.935196
1.0,1,1.93696
1.0,1,1.938741
1.0,1,1.940479
1.0,1,1.942299
1.0,1,1.944279
1.0,1,1.946264
1.0,1,1.948223
1.0,1,1.95019
1.0,1,1.952013
1.0,1,1.953816
1.0,1,1.955629
1.0,1,1.957516
1.0,1,1.959308
1.0,1,1.961098
1.0,1,1.962879
1.0,1,1.964628
1.0,1,1.966479
1.0,1,1.968329
1.0,1,1.970166
1.0,1,1.971998
1.0,1,1.973825
1.0,1,1.975655
1.0,1,1.977471
1.0,1,1.979264
1.0,1,1.981018
1.0,1,1.98274
1.0,1,1.984549
1.0,1,1.986331
1.0,1,1.988097
1.0,1,1.989867
1.0,1,1.991642
1.0,1,1.993428
1.0,1,1.995288
1.0,1,1.997114
1.0,1,1.998939
1.0,1,2.000804
1.0,1,2.002642
1.0,1,2.004476
1.0,1,2.006319
1.0,1,2.008165
1.0,1,2.010029
1.0,1,2.011832
1.0,1,2.013685
1.0,1,2.01557
1.0,1,2.017408
1.0,1,2.020035
1.0,1,2.021956
1.0,1,2.023978
1.0,1,2.025765
1.0,1,2.027537
1.0,1,2.029349
1.0,1,2.031192
1.0,1,2.033119
1.0,1,2.034939
1.0,1,2.036786
1.0,1,2.038541
1.0,1,2.039922
1.0,1,2.041674
1.0,1,2.043425
1.0,1,2.04521
1.0,1,2.047073
1.0,1,2.048905
1.0,1,2.050728
1.0,1,2.052528
1.0,1,2.054317
1.0,1,2.056146
1.0,1,2.057976
1.0,1,2.059811
1.0,1,2.061593
1.0,1,2.063446
1.0,1,2.065216
1.0,1,2.066922
1.0,1,2.068683
1.0,1,2.070437
1.0,1,2.072202
1.0,1,2.073961
1.0,1,2.075698
1.0,1,2.077803
1.0,1,2.079312
1.0,1,2.081097
1.0,1,2.08285
1.0,1,2.08454
1.0,1,2.086312
1.0,1,2.088089
1.0,1,2.089828
1.0,1,2.092024
1.0,1,2.093834
1.0,1,2.095627
1.0,1,2.096959
1.0,1,2.098778
1.0,1,2.100978
1.0,1,2.102806
1.0,1,2.104608
1.0,1,2.10644
1.0,1,2.10775
1.0,1,2.109447
1.0,1,2.111202
1.0,1,2.112953
1.0,1,2.115112
1.0,1,2.116889
1.0,1,2.118766
1.0,1,2.120538
1.0,1,2.122305
1.0,1,2.12413
1.0,1,2.125967
1.0,1,2.127327
1.0,1,2.12914
1.0,1,2.1309
1.0,1,2.133157
1.0,1,2.134917
1.0,1,2.136688
1.0,1,2.138443
1.0,1,2.139747
1.0,1,2.141437
1.0,1,2.143456
1.0,1,2.145195
1.0,1,2.146904
1.0,1,2.148665
1.0,1,2.150387
1.0,1,2.152189
1.0,1,2.153943
1.0,1,2.155676
1.0,1,2.157426
1.0,1,2.159234
1.0,1,2.161067
1.0,1,2.162887
1.0,1,2.164685
1.0,1,2.166523
1.0,1,2.168305
1.0,1,2.17012
1.0,1,2.171916
1.0,1,2.17374
1.0,1,2.17563
1.0,1,2.177459
1.0,1,2.179267
1.0,1,2.181116
1.0,1,2.182949
1.0,1,2.184776
1.0,1,2.186601
1.0,1,2.188406
1.0,1,2.190176
1.0,1,2.192038
1.0,1,2.193876
1.0,1,2.19569
1.0,1,2.197448
1.0,1,2.199295
1.0,1,2.201122
1.0,1,2.202953
1.0,1,2.204657
1.0,1,2.206445
1.0,1,2.208231
1.0,1,2.209988
1.0,1,2.211741
1.0,1,2.213506
1.0,1,2.215327
1.0,1,2.217096
1.0,1,2.218863
1.0,1,2.220682
1.0,1,2.222475
1.0,1,2.224319
1.0,1,2.226135
1.0,1,2.227947
1.0,1,2.229713
1.0,1,2.231586
1.0,1,2.233397
1.0,1,2.235204
1.0,1,2.237019
1.0,1,2.238916
1.0,1,2.240687
1.0,1,2.242511
1.0,1,2.24431
1.0,1,2.24608
1.0,1,2.247972
1.0,1,2.249742
1.0,1,2.251547
1.0,1,2.253289
1.0,1,2.255125
1.0,1,2.256861
1.0,1,2.258696
1.0,1,2.260526
1.0,1,2.262313
1.0,1,2.264154
1.0,1,2.265941
1.0,1,2.267784
1.0,1,2.26962
1.0,1,2.271423
1.0,1,2.273227
1.0,1,2.275056
1.0,1,2.276863
1.0,1,2.278648
1.0,1,2.280476
1.0,1,2.282275
1.0,1,2.284029
1.0,1,2.285784
1.0,1,2.287911
1.0,1,2.289873
1.0,1,2.291657
1.0,1,2.294271
1.0,1,2.29651
1.0,1,2.298446
1.0,1,2.300256
1.0,1,2.302017
1.0,1,2.304007
1.0,1,2.305736
1.0,1,2.307408
1.0,1,2.309174
1.0,1,2.311
1.0,1,2.312747
1.0,1,2.314536
1.0,1,2.316293
1.0,1,2.318033
1.0,1,2.319945
1.0,1,2.32166
1.0,1,2.323465
1.0,1,2.325185
1.0,1,2.326918
1.0,1,2.328744
1.0,1,2.330622
1.0,1,2.33237
1.0,1,2.334198
1.0,1,2.336072
1.0,1,2.33786
1.0,1,2.339814
1.0,1,2.341655
1.0,1,2.343504
1.0,1,2.34544
1.0,1,2.347241
1.0,1,2.3488
1.0,1,2.350582
1.0,1,2.352556
1.0,1,2.357167
1.0,1,2.359619
1.0,1,2.361831
1.0,1,2.364144
1.0,1,2.366389
1.0,1,2.368226
1.0,1,2.37
1.0,1,2.371768
1.0,1,2.373679
1.0,1,2.375678
1.0,1,2.377486
1.0,1,2.379282
1.0,1,2.381092
1.0,1,2.382902
1.0,1,2.384696
1.0,1,2.386559
1.0,1,2.388372
1.0,1,2.390261
1.0,1,2.392047
1.0,1,2.393873
1.0,1,2.395706
1.0,1,2.397533
1.0,1,2.399622
1.0,1,2.401013
1.0,1,2.403144
1.0,1,2.404734
1.0,1,2.406759
1.0,1,2.408782
1.0,1,2.410569
1.0,1,2.412338
1.0,1,2.414161
1.0,1,2.416187
1.0,1,2.418001
1.0,1,2.419864
