#{"t_start": 1624019661.5301893, "env_id": "CartPole-v1"}
r,l,t
1.0,1,1.374765
1.0,1,1.387235
1.0,1,1.389181
1.0,1,1.390855
1.0,1,1.392537
1.0,1,1.394202
1.0,1,1.395864
1.0,1,1.39758
1.0,1,1.399228
1.0,1,1.400941
1.0,1,1.402579
1.0,1,1.404227
1.0,1,1.405906
1.0,1,1.40755
1.0,1,1.409224
1.0,1,1.410796
1.0,1,1.412506
1.0,1,1.414247
1.0,1,1.415994
1.0,1,1.417742
1.0,1,1.419434
1.0,1,1.421091
1.0,1,1.422842
1.0,1,1.424609
1.0,1,1.426266
1.0,1,1.427937
1.0,1,1.429572
1.0,1,1.431282
1.0,1,1.432993
1.0,1,1.434666
1.0,1,1.436396
1.0,1,1.438151
1.0,1,1.439946
1.0,1,1.441745
1.0,1,1.44354
1.0,1,1.445316
1.0,1,1.447165
1.0,1,1.449248
1.0,1,1.451294
1.0,1,1.453099
1.0,1,1.455072
1.0,1,1.456674
1.0,1,1.458504
1.0,1,1.460299
1.0,1,1.462188
1.0,1,1.464038
1.0,1,1.465884
1.0,1,1.467732
1.0,1,1.469539
1.0,1,1.471268
1.0,1,1.47311
1.0,1,1.475286
1.0,1,1.477164
1.0,1,1.47894
1.0,1,1.480755
1.0,1,1.482538
1.0,1,1.48426
1.0,1,1.486047
1.0,1,1.487903
1.0,1,1.489736
1.0,1,1.491602
1.0,1,1.493439
1.0,1,1.495157
1.0,1,1.49692
1.0,1,1.498665
1.0,1,1.500384
1.0,1,1.502146
1.0,1,1.504343
1.0,1,1.50647
1.0,1,1.508426
1.0,1,1.510402
1.0,1,1.512655
1.0,1,1.514548
1.0,1,1.516423
1.0,1,1.518226
1.0,1,1.520093
1.0,1,1.521805
1.0,1,1.523553
1.0,1,1.525307
1.0,1,1.527012
1.0,1,1.528882
1.0,1,1.530751
1.0,1,1.53258
1.0,1,1.534803
1.0,1,1.536675
1.0,1,1.538442
1.0,1,1.540146
1.0,1,1.541821
1.0,1,1.543118
1.0,1,1.545305
