#{"t_start": 1624019661.354039, "env_id": "CartPole-v1"}
r,l,t
1.0,1,1.551341
1.0,1,1.563792
1.0,1,1.565633
1.0,1,1.567309
1.0,1,1.568999
1.0,1,1.570654
1.0,1,1.572315
1.0,1,1.574032
1.0,1,1.575699
1.0,1,1.577386
1.0,1,1.579039
1.0,1,1.580681
1.0,1,1.582357
1.0,1,1.584015
1.0,1,1.585546
1.0,1,1.587338
1.0,1,1.589063
1.0,1,1.590808
1.0,1,1.592565
1.0,1,1.594291
1.0,1,1.595964
1.0,1,1.597417
1.0,1,1.599173
1.0,1,1.600979
1.0,1,1.602594
1.0,1,1.604473
1.0,1,1.605913
1.0,1,1.607822
1.0,1,1.609326
1.0,1,1.611248
1.0,1,1.612935
1.0,1,1.614735
1.0,1,1.61631
1.0,1,1.618112
1.0,1,1.619903
1.0,1,1.621683
1.0,1,1.623619
1.0,1,1.625645
1.0,1,1.627674
1.0,1,1.629466
1.0,1,1.631502
1.0,1,1.633047
1.0,1,1.634867
1.0,1,1.636682
1.0,1,1.638542
1.0,1,1.640625
1.0,1,1.642469
1.0,1,1.644322
1.0,1,1.646085
1.0,1,1.647833
1.0,1,1.649764
1.0,1,1.651888
1.0,1,1.653696
1.0,1,1.655523
1.0,1,1.657329
1.0,1,1.659062
1.0,1,1.660794
1.0,1,1.662595
1.0,1,1.664434
1.0,1,1.666342
1.0,1,1.668188
1.0,1,1.669974
1.0,1,1.671727
1.0,1,1.673489
1.0,1,1.675222
1.0,1,1.676937
1.0,1,1.678531
1.0,1,1.68073
1.0,1,1.683087
1.0,1,1.685074
1.0,1,1.687129
1.0,1,1.689286
1.0,1,1.69112
1.0,1,1.692977
1.0,1,1.694594
1.0,1,1.696635
1.0,1,1.69838
1.0,1,1.700088
1.0,1,1.701816
1.0,1,1.703573
1.0,1,1.705474
1.0,1,1.707336
1.0,1,1.70917
1.0,1,1.710914
1.0,1,1.712849
1.0,1,1.714614
1.0,1,1.716325
1.0,1,1.718004
1.0,1,1.719699
1.0,1,1.721485
1.0,1,1.723333
1.0,1,1.725075
1.0,1,1.726817
1.0,1,1.728609
1.0,1,1.730571
1.0,1,1.73238
1.0,1,1.734227
1.0,1,1.736075
1.0,1,1.73795
1.0,1,1.739714
1.0,1,1.741484
1.0,1,1.743269
1.0,1,1.745145
1.0,1,1.746864
1.0,1,1.748605
1.0,1,1.75045
1.0,1,1.752295
1.0,1,1.754081
1.0,1,1.755941
1.0,1,1.757783
1.0,1,1.759604
1.0,1,1.761498
1.0,1,1.76327
