#{"t_start": 1624019661.4497445, "env_id": "CartPole-v1"}
r,l,t
1.0,1,1.456047
1.0,1,1.468273
1.0,1,1.470089
1.0,1,1.471767
1.0,1,1.473449
1.0,1,1.475114
1.0,1,1.476771
1.0,1,1.478483
1.0,1,1.480157
1.0,1,1.481835
1.0,1,1.483498
1.0,1,1.485158
1.0,1,1.486807
1.0,1,1.488465
1.0,1,1.490077
1.0,1,1.491436
1.0,1,1.493173
1.0,1,1.49491
1.0,1,1.496661
1.0,1,1.498421
1.0,1,1.500089
1.0,1,1.501744
1.0,1,1.503494
1.0,1,1.505255
1.0,1,1.506942
1.0,1,1.508583
1.0,1,1.510267
1.0,1,1.511961
1.0,1,1.513671
1.0,1,1.515361
1.0,1,1.51704
1.0,1,1.518796
1.0,1,1.520562
1.0,1,1.52238
1.0,1,1.524169
1.0,1,1.52595
1.0,1,1.527813
1.0,1,1.529909
1.0,1,1.531942
1.0,1,1.533735
1.0,1,1.535518
1.0,1,1.53741
1.0,1,1.539126
1.0,1,1.540946
1.0,1,1.542842
1.0,1,1.544677
1.0,1,1.546526
1.0,1,1.548371
1.0,1,1.550179
1.0,1,1.551911
1.0,1,1.553817
1.0,1,1.555964
1.0,1,1.557799
1.0,1,1.55962
1.0,1,1.561423
1.0,1,1.56317
1.0,1,1.564902
1.0,1,1.566696
1.0,1,1.568536
1.0,1,1.570422
1.0,1,1.572279
1.0,1,1.574084
1.0,1,1.575831
1.0,1,1.577586
1.0,1,1.579325
1.0,1,1.581049
1.0,1,1.582792
1.0,1,1.585007
1.0,1,1.587177
1.0,1,1.589112
1.0,1,1.591145
1.0,1,1.593368
1.0,1,1.595241
1.0,1,1.597103
1.0,1,1.598895
1.0,1,1.600756
1.0,1,1.602491
1.0,1,1.604231
1.0,1,1.605972
1.0,1,1.607674
1.0,1,1.609561
1.0,1,1.611427
1.0,1,1.613262
1.0,1,1.615055
1.0,1,1.616949
1.0,1,1.61872
1.0,1,1.620448
1.0,1,1.622127
1.0,1,1.623863
1.0,1,1.625574
1.0,1,1.627422
1.0,1,1.629187
1.0,1,1.630906
1.0,1,1.632725
1.0,1,1.634665
1.0,1,1.636493
1.0,1,1.63831
1.0,1,1.640167
1.0,1,1.642055
1.0,1,1.643844
1.0,1,1.645607
1.0,1,1.64737
1.0,1,1.649257
1.0,1,1.651026
1.0,1,1.652781
1.0,1,1.654545
1.0,1,1.656396
1.0,1,1.65825
1.0,1,1.660051
1.0,1,1.661873
1.0,1,1.663688
1.0,1,1.665576
1.0,1,1.667388
1.0,1,1.669229
1.0,1,1.670995
1.0,1,1.672876
1.0,1,1.6747
1.0,1,1.676474
1.0,1,1.678337
1.0,1,1.680163
1.0,1,1.682055
1.0,1,1.683912
1.0,1,1.685723
1.0,1,1.68743
1.0,1,1.68924
1.0,1,1.690974
1.0,1,1.692636
1.0,1,1.694349
1.0,1,1.696072
1.0,1,1.697925
1.0,1,1.699713
1.0,1,1.701493
1.0,1,1.703233
1.0,1,1.70507
1.0,1,1.706897
1.0,1,1.708704
1.0,1,1.710508
1.0,1,1.712267
1.0,1,1.714092
1.0,1,1.715895
1.0,1,1.717673
1.0,1,1.719426
1.0,1,1.721226
1.0,1,1.723138
1.0,1,1.725001
1.0,1,1.726826
1.0,1,1.728693
1.0,1,1.73031
1.0,1,1.731941
1.0,1,1.73641
1.0,1,1.738865
1.0,1,1.742109
1.0,1,1.744323
1.0,1,1.746207
1.0,1,1.748401
1.0,1,1.750463
1.0,1,1.752469
1.0,1,1.754333
1.0,1,1.756181
1.0,1,1.757982
1.0,1,1.759819
1.0,1,1.761746
1.0,1,1.763503
1.0,1,1.765249
1.0,1,1.766966
1.0,1,1.768842
1.0,1,1.770545
1.0,1,1.772244
1.0,1,1.77395
1.0,1,1.775646
1.0,1,1.77746
1.0,1,1.779201
1.0,1,1.780946
1.0,1,1.782701
1.0,1,1.784496
1.0,1,1.786311
1.0,1,1.788123
1.0,1,1.789921
1.0,1,1.791732
1.0,1,1.793601
1.0,1,1.795301
1.0,1,1.796948
1.0,1,1.798619
1.0,1,1.800416
1.0,1,1.802012
1.0,1,1.803699
1.0,1,1.805532
1.0,1,1.807367
1.0,1,1.809237
1.0,1,1.81103
1.0,1,1.812785
1.0,1,1.814557
1.0,1,1.816415
1.0,1,1.818132
1.0,1,1.819886
1.0,1,1.821649
1.0,1,1.823405
1.0,1,1.825269
1.0,1,1.827029
1.0,1,1.828727
1.0,1,1.830465
1.0,1,1.832176
1.0,1,1.833993
1.0,1,1.835745
1.0,1,1.837517
1.0,1,1.839262
1.0,1,1.841007
1.0,1,1.842772
1.0,1,1.844606
1.0,1,1.846312
1.0,1,1.848052
1.0,1,1.849779
1.0,1,1.851521
1.0,1,1.85326
1.0,1,1.854991
1.0,1,1.856829
1.0,1,1.858641
1.0,1,1.860408
1.0,1,1.862123
1.0,1,1.863896
1.0,1,1.865611
1.0,1,1.867398
1.0,1,1.869143
1.0,1,1.870903
1.0,1,1.872682
1.0,1,1.874409
1.0,1,1.876117
1.0,1,1.877841
1.0,1,1.879521
1.0,1,1.881326
1.0,1,1.883081
1.0,1,1.884781
1.0,1,1.88645
1.0,1,1.88823
1.0,1,1.889974
1.0,1,1.891733
1.0,1,1.893485
1.0,1,1.895238
1.0,1,1.897265
1.0,1,1.899289
1.0,1,1.901223
1.0,1,1.902872
1.0,1,1.904961
1.0,1,1.906853
1.0,1,1.908682
1.0,1,1.910532
1.0,1,1.912405
1.0,1,1.914171
1.0,1,1.915953
1.0,1,1.917745
1.0,1,1.919493
1.0,1,1.92138
1.0,1,1.923214
1.0,1,1.925032
1.0,1,1.926889
1.0,1,1.928986
1.0,1,1.930769
1.0,1,1.93257
1.0,1,1.934553
1.0,1,1.937041
1.0,1,1.939325
1.0,1,1.941267
1.0,1,1.943457
1.0,1,1.94552
1.0,1,1.947632
1.0,1,1.949803
1.0,1,1.95189
1.0,1,1.953991
1.0,1,1.956439
1.0,1,1.958383
1.0,1,1.960264
1.0,1,1.962244
1.0,1,1.964077
1.0,1,1.965866
1.0,1,1.967643
1.0,1,1.969451
1.0,1,1.971258
1.0,1,1.973057
1.0,1,1.974738
1.0,1,1.976553
1.0,1,1.978439
1.0,1,1.980281
1.0,1,1.982382
1.0,1,1.984517
1.0,1,1.986414
1.0,1,1.988259
1.0,1,1.990106
1.0,1,1.991918
1.0,1,1.993857
1.0,1,1.995703
1.0,1,1.997533
1.0,1,1.999405
1.0,1,2.00132
1.0,1,2.003062
1.0,1,2.004812
1.0,1,2.006572
1.0,1,2.008297
1.0,1,2.010158
1.0,1,2.012001
1.0,1,2.01386
1.0,1,2.0157
1.0,1,2.017608
1.0,1,2.019403
1.0,1,2.021184
1.0,1,2.022936
1.0,1,2.024701
1.0,1,2.026515
1.0,1,2.028295
1.0,1,2.030083
1.0,1,2.031812
1.0,1,2.033641
1.0,1,2.035624
1.0,1,2.037605
1.0,1,2.039565
1.0,1,2.041523
1.0,1,2.043349
1.0,1,2.045171
1.0,1,2.046979
1.0,1,2.048839
1.0,1,2.050624
1.0,1,2.052439
1.0,1,2.054225
1.0,1,2.055959
1.0,1,2.05781
1.0,1,2.059662
1.0,1,2.061504
1.0,1,2.063335
1.0,1,2.06519
1.0,1,2.067
1.0,1,2.068788
1.0,1,2.07058
1.0,1,2.072351
1.0,1,2.074085
1.0,1,2.075881
1.0,1,2.077666
1.0,1,2.079429
1.0,1,2.081211
1.0,1,2.083
1.0,1,2.084778
1.0,1,2.086608
1.0,1,2.088436
1.0,1,2.090286
1.0,1,2.09214
1.0,1,2.093979
1.0,1,2.09581
1.0,1,2.097654
1.0,1,2.099501
1.0,1,2.101367
1.0,1,2.10318
1.0,1,2.105023
1.0,1,2.10689
1.0,1,2.108866
1.0,1,2.110864
1.0,1,2.112885
1.0,1,2.11484
1.0,1,2.116826
1.0,1,2.1186
1.0,1,2.120401
1.0,1,2.122252
1.0,1,2.124007
1.0,1,2.126022
1.0,1,2.127866
1.0,1,2.129628
1.0,1,2.131406
1.0,1,2.133165
1.0,1,2.134913
1.0,1,2.136729
1.0,1,2.138568
1.0,1,2.140398
1.0,1,2.142224
1.0,1,2.14402
1.0,1,2.145819
1.0,1,2.147628
1.0,1,2.149477
1.0,1,2.151294
1.0,1,2.153083
1.0,1,2.154922
1.0,1,2.15668
1.0,1,2.158408
1.0,1,2.160169
1.0,1,2.161937
1.0,1,2.163692
1.0,1,2.165452
1.0,1,2.167206
1.0,1,2.169006
1.0,1,2.170788
1.0,1,2.172556
1.0,1,2.174321
1.0,1,2.176019
1.0,1,2.177779
1.0,1,2.179577
1.0,1,2.181324
1.0,1,2.183096
1.0,1,2.184905
1.0,1,2.186712
1.0,1,2.188456
1.0,1,2.190281
1.0,1,2.192061
1.0,1,2.193876
1.0,1,2.195691
1.0,1,2.197525
1.0,1,2.199248
1.0,1,2.200942
1.0,1,2.202697
1.0,1,2.204447
1.0,1,2.206175
1.0,1,2.207958
1.0,1,2.209833
1.0,1,2.21161
1.0,1,2.213378
1.0,1,2.215216
1.0,1,2.217028
1.0,1,2.218836
1.0,1,2.220642
1.0,1,2.222403
1.0,1,2.224244
1.0,1,2.226001
1.0,1,2.227774
1.0,1,2.22953
1.0,1,2.231246
1.0,1,2.232934
1.0,1,2.234693
1.0,1,2.236442
1.0,1,2.238173
1.0,1,2.239936
1.0,1,2.241689
1.0,1,2.243462
1.0,1,2.245211
1.0,1,2.246945
1.0,1,2.248712
1.0,1,2.250495
1.0,1,2.252333
1.0,1,2.254136
1.0,1,2.255951
1.0,1,2.257764
1.0,1,2.259576
1.0,1,2.261393
1.0,1,2.263187
1.0,1,2.265045
1.0,1,2.266894
1.0,1,2.268708
1.0,1,2.270535
1.0,1,2.272387
1.0,1,2.274214
1.0,1,2.276048
1.0,1,2.277871
1.0,1,2.279669
1.0,1,2.281494
1.0,1,2.283306
1.0,1,2.285159
1.0,1,2.286967
1.0,1,2.288751
1.0,1,2.29056
1.0,1,2.29239
1.0,1,2.2942
1.0,1,2.29596
1.0,1,2.297728
1.0,1,2.299498
1.0,1,2.30123
1.0,1,2.303012
1.0,1,2.304801
1.0,1,2.306592
1.0,1,2.308384
1.0,1,2.310158
1.0,1,2.311945
1.0,1,2.313777
1.0,1,2.315589
1.0,1,2.317417
1.0,1,2.319218
1.0,1,2.321017
1.0,1,2.32285
1.0,1,2.324664
