#{"t_start": 1624019661.3561766, "env_id": "CartPole-v1"}
r,l,t
1.0,1,2.085399
1.0,1,2.087337
1.0,1,2.089182
1.0,1,2.091015
1.0,1,2.092888
1.0,1,2.094805
1.0,1,2.09655
1.0,1,2.098299
1.0,1,2.100061
1.0,1,2.101783
1.0,1,2.103636
1.0,1,2.105484
1.0,1,2.107342
1.0,1,2.109183
1.0,1,2.111092
1.0,1,2.112888
1.0,1,2.114664
1.0,1,2.116422
1.0,1,2.118187
1.0,1,2.119999
1.0,1,2.121776
1.0,1,2.123571
1.0,1,2.125295
1.0,1,2.127115
1.0,1,2.129098
1.0,1,2.13108
1.0,1,2.133039
1.0,1,2.135005
1.0,1,2.136829
1.0,1,2.138633
1.0,1,2.140459
1.0,1,2.142319
1.0,1,2.144111
1.0,1,2.145916
1.0,1,2.147708
1.0,1,2.149448
1.0,1,2.151292
1.0,1,2.153145
1.0,1,2.154984
1.0,1,2.156816
1.0,1,2.158641
1.0,1,2.160486
1.0,1,2.162275
1.0,1,2.164066
1.0,1,2.165836
1.0,1,2.16757
1.0,1,2.169365
1.0,1,2.171147
1.0,1,2.172914
1.0,1,2.174684
1.0,1,2.176474
1.0,1,2.178259
1.0,1,2.180089
1.0,1,2.181918
1.0,1,2.183767
1.0,1,2.18562
1.0,1,2.187458
1.0,1,2.189291
1.0,1,2.191134
1.0,1,2.192981
1.0,1,2.194849
1.0,1,2.196663
1.0,1,2.198502
1.0,1,2.200372
1.0,1,2.202211
1.0,1,2.204209
1.0,1,2.206254
1.0,1,2.208205
1.0,1,2.210197
1.0,1,2.21197
1.0,1,2.213772
1.0,1,2.215622
1.0,1,2.217497
1.0,1,2.21933
1.0,1,2.221167
1.0,1,2.222939
1.0,1,2.224716
1.0,1,2.22647
1.0,1,2.228225
1.0,1,2.230023
1.0,1,2.231867
1.0,1,2.233701
1.0,1,2.235525
1.0,1,2.237326
1.0,1,2.239129
1.0,1,2.240942
1.0,1,2.242777
1.0,1,2.244613
1.0,1,2.246406
1.0,1,2.248242
1.0,1,2.250013
1.0,1,2.251718
1.0,1,2.253479
1.0,1,2.255247
1.0,1,2.257
1.0,1,2.258758
1.0,1,2.260511
1.0,1,2.262284
1.0,1,2.264116
1.0,1,2.265888
1.0,1,2.267651
1.0,1,2.269354
1.0,1,2.271107
1.0,1,2.272884
1.0,1,2.274624
1.0,1,2.276402
1.0,1,2.278214
1.0,1,2.280018
1.0,1,2.281785
1.0,1,2.283606
1.0,1,2.285359
1.0,1,2.287176
1.0,1,2.288991
1.0,1,2.290831
1.0,1,2.292579
1.0,1,2.294275
1.0,1,2.296029
1.0,1,2.29778
1.0,1,2.299471
1.0,1,2.30126
1.0,1,2.303134
1.0,1,2.304914
1.0,1,2.306673
1.0,1,2.308508
1.0,1,2.310329
1.0,1,2.312155
1.0,1,2.313968
1.0,1,2.315726
1.0,1,2.317543
1.0,1,2.319308
1.0,1,2.321078
1.0,1,2.322836
1.0,1,2.324577
1.0,1,2.326265
1.0,1,2.328022
1.0,1,2.329773
1.0,1,2.331481
1.0,1,2.333244
1.0,1,2.334993
1.0,1,2.336769
1.0,1,2.338515
1.0,1,2.340258
1.0,1,2.342021
1.0,1,2.343789
1.0,1,2.345633
1.0,1,2.347451
1.0,1,2.349257
1.0,1,2.351061
1.0,1,2.352876
1.0,1,2.354681
1.0,1,2.356491
1.0,1,2.358348
1.0,1,2.360193
1.0,1,2.362029
1.0,1,2.363838
1.0,1,2.365689
1.0,1,2.367512
1.0,1,2.369348
1.0,1,2.37117
1.0,1,2.372974
1.0,1,2.374784
1.0,1,2.376614
1.0,1,2.378439
1.0,1,2.380265
1.0,1,2.382054
1.0,1,2.38386
1.0,1,2.38569
1.0,1,2.3875
1.0,1,2.389267
1.0,1,2.391045
1.0,1,2.392807
1.0,1,2.394558
1.0,1,2.39632
1.0,1,2.398113
1.0,1,2.399897
1.0,1,2.40167
1.0,1,2.403468
1.0,1,2.405241
1.0,1,2.407076
1.0,1,2.408888
1.0,1,2.41069
1.0,1,2.412522
1.0,1,2.414317
1.0,1,2.41615
1.0,1,2.417964
1.0,1,2.419773
1.0,1,2.421591
1.0,1,2.423437
1.0,1,2.425259
1.0,1,2.427082
1.0,1,2.428881
1.0,1,2.430679
1.0,1,2.432529
1.0,1,2.434318
